room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
14933037,1480,91501272,Shared room,,Lisbon,,Santo António,2,0.0,8,1.0,,15.0,,LOW COST HOSTEL MARQUES GARDENS 8 BED DORM,2017-07-28 01:19:37.046448,38.724962,-9.147498,0101000020E610000069739CDB844B22C0DF6B088ECB5C4340
11839628,1480,53320272,Shared room,,Lisbon,,Avenidas Novas,2,0.0,10,1.0,,18.0,,Swallow Hostel 17 sinta-se em casa!,2017-07-28 01:19:37.043919,38.733829,-9.149238,0101000020E610000012A452EC684C22C09EEDD11BEE5D4340
1380975,1480,6855202,Shared room,,Lisbon,,Santo António,3,5.0,1,1.0,,22.0,,Bed in a 10 mixed dorm shared wc,2017-07-28 01:19:37.041227,38.725079,-9.148459,0101000020E6100000FF976BD1024C22C019028063CF5C4340
4010418,1480,12771657,Shared room,,Lisbon,,Misericórdia,12,4.5,6,1.0,,22.0,,Lisbon Best Hostel  {6 Bed Room},2017-07-28 01:19:37.038430,38.71414,-9.144635,0101000020E6100000C3B645990D4A22C0FA6184F0685B4340
17788751,1480,103885214,Shared room,,Lisbon,,Santa Maria Maior,4,4.5,1,1.0,,24.0,,Lisboa Tu & Eu Hostel - IX,2017-07-28 01:19:37.036255,38.708939,-9.131885,0101000020E61000007AAA436E864322C0F2ED5D83BE5A4340
9018579,1480,46762399,Shared room,,Lisbon,,Avenidas Novas,7,4.5,6,1.0,,20.0,,Shared female bunkbed room,2017-07-28 01:19:37.027831,38.728595,-9.14988,0101000020E610000022A64412BD4C22C0BA83D899425D4340
18347626,1480,107813252,Shared room,,Lisbon,,Areeiro,3,4.5,1,1.0,,15.0,,Nice room near downtown Lisbon 3,2017-07-28 01:19:35.263170,38.740608,-9.130472,0101000020E61000006116DA39CD4222C0F793313ECC5E4340
10398958,1480,32344156,Shared room,,Lisbon,,Misericórdia,40,4.5,8,1.0,,23.0,,Bed in bright 8 bedded dormitory,2017-07-28 01:19:35.260732,38.714618,-9.149599,0101000020E61000005307793D984C22C00491459A785B4340
5557699,1480,28812904,Shared room,,Lisbon,,Santa Maria Maior,24,4.0,1,1.0,,15.0,,Lisbon Cozy Flat - Bunk Beds 1,2017-07-28 01:19:35.258422,38.712782,-9.137569,0101000020E610000008E3A7716F4622C0B796C9703C5B4340
12826043,1480,6981742,Shared room,,Lisbon,,Alvalade,6,4.5,2,1.0,,38.0,,MiniRoom2 (in Dorm) in Nesha Guesthouse Lisbon,2017-07-28 01:19:35.256336,38.747595,-9.135601,0101000020E61000001B9C887E6D4522C099D36531B15F4340
